time,open,high,low,close,tick_volume,spread,real_volume
946864800,107.81,107.94,105.69,107.19,389,0,0
946951200,106.37,108.37,103.75,105.12,800,0,0
947037600,104.87,105.37,102.50,103.12,400,0,0
947124000,105.12,109.44,105.06,107.87,602,0,0
947210400,109.56,117.00,109.19,116.50,869,0,0
947469600,115.81,117.31,114.37,115.94,576,0,0
947556000,115.37,117.75,114.44,117.75,425,0,0
947642400,116.62,118.37,116.12,117.00,413,0,0
947728800,116.87,117.00,114.56,115.00,302,0,0
947815200,115.50,117.00,115.37,117.00,177,0,0
948160800,116.94,118.00,116.06,116.94,389,0,0
948247200,114.00,116.00,113.56,115.37,352,0,0
948333600,114.00,114.25,107.62,112.56,1183,0,0
948420000,112.62,112.62,99.50,102.69,1632,0,0
948679200,96.00,108.87,94.81,103.12,2101,0,0
948765600,103.62,103.69,97.00,97.50,727,0,0
948852000,99.00,100.81,98.81,100.62,239,0,0
948938400,102.00,104.44,101.19,104.06,445,0,0
949024800,103.69,103.69,99.37,100.31,527,0,0
949284000,100.25,101.12,98.37,101.06,470,0,0
949370400,100.69,100.87,98.75,99.50,306,0,0
949456800,99.75,100.00,98.31,98.62,226,0,0
949543200,99.81,99.81,96.69,97.81,425,0,0
949629600,97.62,97.69,94.00,94.75,452,0,0
949888800,94.00,94.81,92.56,93.25,376,0,0
949975200,94.00,95.87,92.81,95.75,438,0,0
950061600,95.25,95.87,93.75,94.00,300,0,0
950148000,93.75,94.69,90.06,91.44,696,0,0
950234400,91.31,93.94,91.31,93.75,283,0,0
950493600,93.69,93.81,91.00,91.87,381,0,0
950580000,92.50,95.81,92.12,95.75,414,0,0
950666400,95.81,96.25,93.00,94.05,475,0,0
950752800,94.00,95.00,93.00,94.19,382,0,0
950839200,93.81,94.44,92.00,93.64,472,0,0
951184800,92.31,93.44,90.06,92.87,621,0,0
951271200,92.87,92.87,90.12,90.62,326,0,0
951357600,90.37,90.87,86.56,88.50,676,0,0
951444000,88.75,89.00,85.12,85.12,414,0,0
951703200,85.81,90.00,85.00,88.37,745,0,0
951789600,89.50,89.87,87.25,87.87,362,0,0
951876000,88.00,88.69,86.87,88.25,340,0,0
951962400,88.00,88.44,86.69,87.31,282,0,0
952048800,87.81,89.81,87.00,88.44,500,0,0
952308000,88.37,88.44,86.62,87.44,272,0,0
952394400,58.00,72.37,57.25,61.00,2725,0,0
952480800,61.00,61.69,57.13,58.00,613,0,0
952567200,58.50,59.50,56.50,57.75,526,0,0
952653600,57.13,57.75,52.75,53.75,663,0,0
952912800,53.75,57.25,53.25,57.25,451,0,0
952999200,57.44,58.00,55.13,55.75,406,0,0
953085600,56.44,58.50,54.63,58.50,569,0,0
953172000,59.69,60.50,58.75,59.88,332,0,0
953258400,59.88,59.88,57.00,57.63,352,0,0
953517600,58.38,59.03,57.44,58.13,294,0,0
953604000,57.19,57.50,56.13,57.00,256,0,0
953690400,57.25,57.69,55.38,57.00,438,0,0
953776800,55.94,56.88,55.56,56.19,240,0,0
953863200,56.44,56.50,55.13,56.44,275,0,0
954126000,56.25,57.00,55.13,55.25,275,0,0
954212400,55.19,57.13,55.19,57.00,208,0,0
954298800,57.19,58.75,57.13,58.69,175,0,0
954385200,58.94,60.13,58.00,58.00,333,0,0
954471600,59.50,59.50,56.25,56.75,376,0,0
954730800,56.75,60.00,56.75,59.50,376,0,0
954817200,60.88,64.00,60.00,63.50,539,0,0
954903600,62.69,63.63,61.56,61.56,302,0,0
954990000,62.00,62.94,61.00,62.75,314,0,0
955076400,63.38,63.75,62.50,63.44,245,0,0
955335600,63.94,66.00,63.75,66.00,245,0,0
955422000,65.62,66.81,63.75,66.44,531,0,0
955508400,67.94,72.75,67.62,69.31,890,0,0
955594800,69.50,69.87,67.19,69.50,537,0,0
955681200,68.00,68.25,62.00,63.00,751,0,0
955940400,62.88,69.12,62.75,69.00,663,0,0
956026800,68.56,68.56,65.37,66.06,389,0,0
956113200,66.31,67.75,65.56,66.06,414,0,0
956199600,66.12,69.00,66.12,68.94,295,0,0
956545200,68.94,71.00,68.50,70.50,345,0,0
956631600,70.50,70.50,63.44,64.25,788,0,0
956718000,63.25,63.38,59.88,60.75,451,0,0
956804400,60.00,62.25,59.25,60.88,513,0,0
956890800,60.94,60.94,59.13,59.75,244,0,0
957150000,59.81,60.44,58.75,59.70,328,0,0
957236400,59.44,60.06,59.00,59.81,176,0,0
957322800,60.63,61.63,60.31,60.63,265,0,0
957409200,60.56,61.69,60.00,60.44,327,0,0
957495600,60.25,60.88,59.81,60.88,152,0,0
957754800,60.13,61.38,60.06,61.19,159,0,0
957841200,61.25,63.06,61.25,62.75,213,0,0
957927600,63.31,64.81,62.94,64.19,287,0,0
958014000,64.37,65.19,63.25,65.00,326,0,0
958100400,65.00,65.56,63.63,64.12,299,0,0
958359600,63.88,65.25,63.31,64.87,290,0,0
958446000,64.87,65.31,63.88,64.50,250,0,0
958532400,64.50,65.00,63.75,65.00,201,0,0
958618800,64.75,65.31,64.50,64.75,163,0,0
958705200,64.25,65.19,64.06,65.06,146,0,0
958964400,65.19,65.37,64.31,64.87,181,0,0
959050800,64.37,65.19,63.75,64.37,289,0,0
959137200,64.56,66.25,64.37,65.87,246,0,0
959223600,65.62,66.00,64.75,65.94,219,0,0
959310000,65.75,66.44,65.62,66.25,115,0,0
959655600,66.31,66.37,65.75,66.12,106,0,0
959742000,66.00,66.87,65.56,66.50,213,0,0
959828400,66.12,66.37,65.37,65.62,151,0,0
959914800,65.37,65.37,63.50,64.00,238,0,0
960174000,64.00,64.00,62.50,63.31,232,0,0
960260400,62.88,63.69,62.63,63.25,176,0,0
960346800,62.88,63.88,61.88,61.88,301,0,0
960433200,58.63,60.00,55.88,57.50,712,0,0
960519600,56.81,57.50,55.81,57.00,320,0,0
960778800,57.00,57.19,56.06,56.38,165,0,0
960865200,55.81,57.00,55.81,57.00,120,0,0
960951600,56.75,57.13,56.06,57.00,190,0,0
961038000,57.19,57.50,56.44,56.75,169,0,0
961124400,57.00,57.19,55.50,55.50,189,0,0
961383600,56.19,56.50,55.06,56.09,279,0,0
961470000,55.88,56.00,54.94,55.25,150,0,0
961556400,55.38,55.44,54.25,54.56,157,0,0
961642800,54.63,54.81,54.06,54.13,101,0,0
961729200,54.75,55.44,54.25,54.94,220,0,0
961988400,55.00,55.81,54.94,55.63,112,0,0
962074800,55.50,56.63,55.13,55.63,288,0,0
962161200,55.50,56.00,55.13,55.55,170,0,0
962247600,55.06,55.13,53.63,53.63,158,0,0
962334000,53.56,57.36,53.25,56.75,504,0,0
962593200,56.75,56.81,55.19,55.88,238,0,0
962766000,56.25,56.31,55.25,55.63,151,0,0
962852400,56.00,56.00,55.00,55.25,126,0,0
962938800,55.69,55.69,54.19,54.88,220,0,0
963198000,55.06,55.69,55.00,55.44,101,0,0
963284400,55.50,55.63,54.50,55.13,190,0,0
963370800,54.88,55.50,54.19,55.13,238,0,0
963457200,55.25,55.44,54.31,54.56,158,0,0
963543600,54.75,56.25,54.69,56.00,188,0,0
963802800,56.25,57.25,56.06,56.13,227,0,0
963889200,56.19,58.25,56.00,58.25,245,0,0
963975600,57.94,59.13,57.56,59.13,196,0,0
964062000,59.25,59.56,58.50,59.00,188,0,0
964148400,59.25,59.44,58.81,59.13,115,0,0
964407600,59.19,59.44,59.00,59.00,70,0,0
964494000,59.50,60.81,59.44,60.63,162,0,0
964580400,59.25,59.94,59.25,59.66,98,0,0
964666800,59.56,60.75,59.31,59.56,289,0,0
964753200,59.94,60.00,59.00,59.19,126,0,0
965012400,58.75,59.00,56.50,57.00,326,0,0
965098800,56.00,60.00,55.38,58.75,650,0,0
965185200,59.38,59.63,57.63,58.19,282,0,0
965271600,58.44,59.06,57.81,58.06,213,0,0
965358000,58.06,58.06,57.13,57.38,119,0,0
965617200,57.31,57.75,57.00,57.13,133,0,0
965703600,57.00,57.00,56.25,56.50,101,0,0
965790000,56.56,56.75,56.00,56.31,126,0,0
965876400,56.56,56.94,56.31,56.81,102,0,0
965962800,56.88,58.50,56.44,58.25,276,0,0
966222000,58.31,59.69,58.06,59.25,233,0,0
966308400,59.75,62.75,59.56,62.75,339,0,0
966394800,62.00,62.94,61.25,62.75,264,0,0
966481200,62.50,62.69,61.50,62.25,214,0,0
966567600,62.25,63.19,62.13,63.00,138,0,0
966826800,63.19,63.44,63.00,63.19,89,0,0
966913200,63.44,64.31,63.38,64.12,119,0,0
966999600,64.06,64.50,63.88,64.31,100,0,0
967086000,64.25,64.25,62.13,62.94,294,0,0
967172400,62.13,62.75,61.38,62.75,213,0,0
