time,open,high,low,close,tick_volume,spread,real_volume
1437361200,39.68,42.47,39.61,40.90,451,0,0
1437447600,41.56,41.92,39.07,39.21,336,0,0
1437534000,39.04,39.72,38.10,38.55,276,0,0
1437620400,38.83,38.92,36.93,37.50,266,0,0
1437706800,37.73,38.00,36.90,37.27,175,0,0
1437966000,37.22,37.38,36.07,36.49,190,0,0
1438052400,36.58,38.00,36.57,37.55,190,0,0
1438138800,38.08,38.29,37.62,37.84,111,0,0
1438225200,37.89,39.01,37.71,38.49,201,0,0
1438311600,39.01,39.20,38.23,38.88,182,0,0
1438570800,38.79,39.88,38.74,39.46,162,0,0
1438657200,39.74,40.04,38.44,38.89,236,0,0
1438743600,39.07,39.88,39.07,39.25,145,0,0
1438830000,39.39,39.78,38.55,38.85,193,0,0
1438916400,38.88,39.45,38.60,39.05,154,0,0
1439175600,39.25,39.69,38.78,38.96,154,0,0
1439262000,39.15,39.27,38.70,38.91,91,0,0
1439348400,38.48,38.70,37.01,38.26,317,0,0
1439434800,38.34,39.08,37.44,37.70,265,0,0
1439521200,37.71,38.26,37.39,38.19,127,0,0
1439780400,38.40,38.78,37.71,38.74,181,0,0
1439866800,38.62,39.01,37.87,38.04,171,0,0
1439953200,38.03,38.18,37.03,37.24,152,0,0
1440039600,37.23,37.34,35.81,35.81,165,0,0
1440126000,35.51,36.10,33.82,34.44,350,0,0
1440385200,32.12,34.85,30.00,33.64,819,0,0
1440471600,35.17,35.81,31.92,32.04,466,0,0
1440558000,33.27,33.91,31.72,33.48,418,0,0
1440644400,33.86,34.88,33.17,34.69,260,0,0
1440730800,34.41,35.27,34.31,34.89,145,0,0
1440990000,35.05,35.94,34.77,35.06,234,0,0
1441076400,34.16,34.67,33.42,33.75,210,0,0
1441162800,34.26,35.08,33.83,34.94,183,0,0
1441249200,35.06,35.46,34.79,35.19,122,0,0
1441335600,35.16,35.16,33.78,34.27,188,0,0
1441681200,35.20,35.42,34.25,34.42,157,0,0
1441767600,34.96,35.08,33.89,34.29,172,0,0
1441854000,34.54,34.77,32.95,33.44,255,0,0
1441940400,33.58,33.87,32.61,33.70,241,0,0
1442199600,33.60,33.95,33.20,33.79,132,0,0
1442286000,33.65,33.95,32.67,33.93,229,0,0
1442372400,33.82,34.07,33.36,33.63,124,0,0
