time,open,high,low,close,tick_volume,spread,real_volume
1538017200,120.38,122.13,119.28,120.66,543,0,0
1538103600,120.55,121.40,117.67,119.00,592,0,0
1538362800,118.30,121.03,118.00,119.45,492,0,0
1538449200,119.10,119.85,117.95,119.18,373,0,0
1538535600,119.43,119.88,118.08,119.03,321,0,0
1538622000,118.00,118.68,116.50,116.62,299,0,0
1538708400,115.85,115.93,113.57,115.55,443,0,0
1538967600,114.55,114.73,111.87,112.72,390,0,0
1539054000,112.60,113.30,110.15,112.10,581,0,0
1539140400,112.80,113.05,103.17,103.50,1047,0,0
1539226800,98.90,102.13,96.84,101.00,849,0,0
1539313200,102.18,103.11,100.53,100.70,369,0,0
1539572400,100.05,100.35,97.56,99.27,481,0,0
1539658800,99.68,106.03,98.58,105.63,896,0,0
1539745200,106.00,106.93,101.92,102.20,623,0,0
1539831600,101.75,103.93,99.85,100.12,654,0,0
1539918000,100.33,102.71,98.82,101.51,661,0,0
1540177200,103.00,103.00,99.84,100.75,408,0,0
1540263600,100.00,101.00,97.63,98.79,554,0,0
1540350000,100.00,100.53,98.33,98.56,297,0,0
1540436400,98.11,102.08,97.89,101.23,527,0,0
1540522800,100.30,100.83,98.59,100.10,429,0,0
1540778400,102.00,104.73,100.45,100.90,747,0,0
1540864800,101.90,102.38,100.05,101.70,447,0,0
1540951200,102.23,105.16,102.18,103.41,479,0,0
1541037600,103.65,106.35,103.05,104.90,536,0,0
1541124000,106.80,107.38,103.92,104.42,455,0,0
1541383200,105.00,106.18,101.60,103.15,732,0,0
1541469600,103.20,103.30,99.41,101.07,566,0,0
1541556000,100.58,102.53,100.30,101.33,372,0,0
1541642400,101.73,102.03,100.48,100.88,226,0,0
1541728800,100.58,100.76,97.61,98.08,381,0,0
1541988000,97.24,97.41,95.12,95.19,254,0,0
1542074400,95.49,98.63,94.64,98.29,519,0,0
1542160800,97.74,100.18,96.39,98.27,706,0,0
1542247200,99.00,99.07,96.09,97.17,414,0,0
1542333600,98.46,98.83,96.42,96.71,308,0,0
1542592800,97.07,97.69,95.08,95.17,333,0,0
1542679200,95.00,95.11,92.17,92.48,337,0,0
1542765600,93.20,94.21,91.85,94.06,387,0,0
1542852000,94.02,94.55,93.35,93.93,232,0,0
1542938400,93.79,94.83,93.36,94.60,214,0,0
1543197600,95.32,96.67,94.90,95.88,299,0,0
1543284000,96.17,96.17,92.08,92.23,425,0,0
1543370400,92.61,93.54,90.66,93.20,518,0,0
1543456800,94.00,96.48,93.98,96.24,277,0,0
1543543200,96.00,96.56,95.02,96.44,265,0,0
1543802400,99.27,99.61,97.11,98.28,402,0,0
1543888800,97.82,99.17,97.41,97.53,324,0,0
1543975200,96.59,97.26,95.53,96.06,294,0,0
1544061600,95.14,95.17,92.52,92.78,295,0,0
1544148000,94.44,95.82,93.86,93.89,338,0,0
1544407200,92.17,93.06,91.57,91.72,254,0,0
1544493600,92.68,94.98,91.30,93.91,614,0,0
1544580000,93.70,93.92,92.38,93.58,297,0,0
1544666400,93.59,94.55,91.64,92.16,440,0,0
1544752800,91.66,91.73,89.96,90.27,216,0,0
1545012000,89.95,90.43,87.64,89.34,498,0,0
1545098400,88.66,90.30,88.32,89.49,314,0,0
1545184800,89.66,92.38,89.58,92.37,290,0,0
1545271200,90.92,91.47,88.89,89.45,370,0,0
1545357600,88.84,89.49,87.52,87.68,279,0,0
1545876000,86.80,87.54,84.08,85.65,578,0,0
1545962400,86.17,87.15,85.93,86.54,208,0,0
1546394400,86.50,86.93,84.32,86.57,516,0,0
1546480800,85.44,87.09,84.61,85.51,490,0,0
1546567200,86.14,89.54,86.07,89.16,393,0,0
1546826400,90.00,91.67,89.23,91.54,335,0,0
1546912800,91.60,95.43,91.22,94.21,582,0,0
1546999200,95.31,98.93,95.05,96.82,626,0,0
1547085600,95.82,96.78,94.96,96.23,324,0,0
1547172000,96.87,97.47,96.03,96.68,270,0,0
1547431200,96.00,97.34,95.74,96.36,285,0,0
1547517600,97.97,98.75,97.86,98.39,137,0,0
1547604000,98.66,99.34,97.56,99.02,321,0,0
1547690400,99.28,100.13,98.72,99.57,254,0,0
1547776800,100.28,100.53,99.06,99.32,199,0,0
1548036000,99.70,100.50,99.43,100.40,145,0,0
1548122400,100.15,100.93,98.35,98.51,353,0,0
1548208800,98.16,98.49,96.99,97.01,186,0,0
1548295200,96.91,99.10,96.27,99.01,357,0,0
1548381600,99.40,100.05,97.53,97.92,357,0,0
1548640800,97.65,98.21,95.32,95.89,403,0,0
1548727200,95.71,97.36,95.13,96.21,397,0,0
1548813600,96.70,97.74,96.54,97.69,142,0,0
1548900000,98.32,109.63,96.72,108.78,1537,0,0
1548986400,110.00,113.13,109.07,110.53,760,0,0
1549245600,110.90,111.38,109.32,110.22,345,0,0
1549332000,110.95,112.30,110.25,112.00,306,0,0
1549418400,111.80,112.65,111.22,111.90,277,0,0
1549504800,111.28,111.36,108.33,109.65,444,0,0
1549591200,108.93,110.33,108.38,108.65,363,0,0
1549850400,109.00,109.98,108.57,109.50,233,0,0
1549936800,110.00,111.45,109.90,111.18,193,0,0
1550023200,111.83,111.86,110.63,111.05,169,0,0
1550109600,111.13,111.88,109.68,110.58,386,0,0
1550196000,110.08,112.13,108.98,111.41,498,0,0
1550455200,111.15,112.38,110.15,111.20,442,0,0
1550541600,111.08,111.98,110.18,111.43,326,0,0
1550628000,111.50,112.38,110.77,111.25,298,0,0
1550714400,111.30,111.73,110.37,111.10,253,0,0
1550800800,111.13,111.68,110.85,111.21,159,0,0
1551060000,111.70,112.23,111.22,111.85,188,0,0
1551146400,112.10,113.90,111.95,113.80,221,0,0
1551232800,113.45,113.75,112.20,112.55,221,0,0
1551319200,112.15,113.20,112.02,113.03,149,0,0
1551405600,113.50,115.43,113.45,114.83,264,0,0
1551664800,115.85,117.10,115.27,115.75,357,0,0
1551751200,116.00,116.05,114.45,115.95,316,0,0
1551837600,115.90,116.73,114.52,115.05,358,0,0
1551924000,114.90,115.40,113.22,114.65,412,0,0
1552010400,113.75,114.48,112.57,114.30,328,0,0
1552269600,114.40,115.78,113.57,115.60,323,0,0
1552356000,116.35,116.43,115.02,115.70,218,0,0
1552442400,115.15,116.08,114.77,115.00,248,0,0
1552528800,114.65,115.98,114.57,115.60,188,0,0
1552615200,116.23,116.78,115.75,116.56,174,0,0
1552874400,116.60,116.60,115.37,116.07,194,0,0
1552960800,116.40,116.88,116.02,116.63,150,0,0
1553047200,116.30,117.23,115.97,116.15,238,0,0
1553133600,115.85,116.53,115.02,116.25,263,0,0
1553220000,116.80,116.80,114.27,114.32,259,0,0
1553479200,113.55,115.88,113.40,115.83,269,0,0
1553565600,116.00,118.18,114.90,117.70,487,0,0
1553652000,118.18,119.73,117.55,118.10,429,0,0
1553738400,118.03,119.18,117.98,118.11,233,0,0
1553824800,118.90,119.23,118.12,119.18,195,0,0
1554087600,120.00,121.88,119.92,120.75,318,0,0
1554174000,120.50,121.33,119.52,120.93,320,0,0
1554260400,121.75,122.85,121.37,121.55,277,0,0
1554346800,121.40,122.20,121.12,121.40,217,0,0
1554433200,121.95,123.33,121.60,122.28,314,0,0
1554692400,121.50,122.33,121.22,121.30,203,0,0
1554778800,121.75,122.48,120.42,121.10,348,0,0
1554865200,121.40,121.98,120.57,121.30,273,0,0
1554951600,122.00,122.08,120.75,121.60,227,0,0
1555038000,121.08,123.71,121.05,122.46,395,0,0
1555297200,122.60,122.90,120.25,121.02,373,0,0
1555383600,121.55,122.00,120.37,121.70,312,0,0
1555470000,122.05,122.05,120.72,121.05,167,0,0
1555556400,121.00,123.38,120.27,122.90,433,0,0
1555988400,122.75,123.53,122.10,123.43,219,0,0
1556074800,122.75,123.30,122.12,122.70,232,0,0
1556161200,122.35,122.58,121.05,121.75,247,0,0
1556247600,121.18,121.66,120.53,121.15,224,0,0
1556506800,120.73,121.71,120.13,120.88,302,0,0
1556593200,120.70,121.83,120.45,120.85,262,0,0
1556766000,121.33,121.53,119.93,120.55,243,0,0
1556852400,120.40,120.83,119.37,119.92,245,0,0
1557111600,116.70,118.60,113.45,118.50,851,0,0
1557198000,118.55,124.98,118.32,122.60,928,0,0
1557284400,123.70,126.58,121.12,126.25,838,0,0
1557370800,126.05,127.33,124.00,124.57,519,0,0
1557457200,125.70,127.38,123.95,124.65,582,0,0
1557716400,124.90,124.93,121.97,122.60,363,0,0
1557802800,123.08,126.48,122.93,126.26,393,0,0
1557889200,126.83,128.28,123.58,128.26,798,0,0
1557975600,128.38,128.78,126.68,128.41,418,0,0
1558062000,128.63,128.93,127.15,128.71,349,0,0
1558321200,128.05,128.93,125.90,126.45,447,0,0
1558407600,127.45,128.38,126.92,128.13,225,0,0
1558494000,128.18,129.23,127.25,128.41,374,0,0
1558580400,127.00,128.18,125.82,126.75,448,0,0
1558666800,127.45,128.25,126.77,127.75,267,0,0
1558926000,128.18,130.68,127.18,127.48,631,0,0
1559012400,128.00,129.33,126.77,129.03,410,0,0
1559098800,128.45,128.98,126.87,127.42,320,0,0
1559185200,128.00,128.60,127.12,128.05,292,0,0
1559271600,127.03,127.58,124.58,127.53,551,0,0
1559530800,127.35,127.83,125.77,127.30,408,0,0
1559617200,126.70,127.73,125.47,127.40,383,0,0
1559703600,127.35,129.13,126.57,128.90,358,0,0
1559790000,128.63,130.98,127.95,130.98,372,0,0
1559876400,131.45,133.88,131.37,132.93,355,0,0
1560135600,133.40,134.48,132.82,134.33,240,0,0
1560222000,135.70,137.85,135.70,136.45,356,0,0
1560308400,136.05,137.43,135.87,136.65,253,0,0
1560394800,136.75,137.33,136.20,136.60,212,0,0
1560481200,136.55,136.63,135.62,135.90,138,0,0
1560740400,136.68,137.48,136.03,137.21,238,0,0
1560826800,137.90,141.38,136.92,141.33,550,0,0
1560913200,141.40,141.75,139.12,139.70,357,0,0
1560999600,140.65,144.88,140.65,143.28,584,0,0
1561086000,142.93,143.58,142.18,143.13,261,0,0
1561345200,142.68,143.98,142.35,142.83,312,0,0
1561431600,142.70,143.28,141.17,141.75,328,0,0
1561518000,141.00,141.70,139.62,139.72,289,0,0
1561604400,139.98,141.28,139.03,140.76,373,0,0
1561690800,141.53,142.73,140.80,142.71,269,0,0
1561950000,144.50,145.68,143.17,144.25,478,0,0
1562036400,144.50,146.35,144.35,145.80,271,0,0
1562122800,146.25,150.08,146.17,148.55,553,0,0
