time,open,high,low,close,tick_volume,spread,real_volume
1663599600,1244.750,1244.750,1244.750,1244.750,2,0,0
1664290800,1186.250,1186.250,1186.250,1186.250,1,0,0
1665576000,1293.130,1296.155,1293.105,1296.155,102,240,0
1665579600,1295.105,1298.155,1281.905,1285.105,1940,240,0
1665583200,1285.155,1286.380,1280.605,1283.155,2117,240,0
1665586800,1283.380,1289.405,1275.605,1277.405,1705,240,0
1665590400,1277.355,1285.630,1271.380,1285.605,2886,240,0
1665594000,1285.630,1287.880,1277.605,1280.155,3054,240,0
1665597600,1280.105,1284.880,1280.105,1282.355,1243,240,0
1665655200,1273.630,1275.630,1259.105,1259.380,1546,240,0
1665658800,1259.630,1260.130,1246.105,1253.155,2208,240,0
1665662400,1253.155,1259.405,1247.605,1248.905,1969,240,0
1665666000,1248.855,1257.905,1248.355,1251.880,1611,240,0
1665669600,1252.105,1261.130,1250.105,1256.655,2248,240,0
1665673200,1256.605,1257.155,1203.880,1213.380,2955,240,0
1665676800,1213.405,1215.880,1196.105,1208.630,3071,240,0
1665680400,1208.855,1232.155,1207.355,1227.405,3345,240,0
1665684000,1227.155,1259.380,1227.105,1257.630,1491,240,0
1665741600,1274.880,1284.880,1259.605,1269.605,2349,240,0
1665745200,1269.630,1270.655,1250.630,1251.130,2472,240,0
1665748800,1250.905,1258.155,1250.105,1257.105,2485,240,0
1665752400,1256.880,1274.130,1256.880,1273.405,2738,240,0
1665756000,1273.155,1277.655,1270.605,1271.880,2226,240,0
1665759600,1271.905,1301.605,1271.605,1297.630,2527,240,0
1665763200,1297.605,1305.905,1292.155,1292.155,2974,240,0
1665766800,1292.105,1292.105,1276.630,1284.380,3666,240,0
1665770400,1283.655,1288.655,1272.130,1277.880,1420,240,0
1666011600,1274.605,1278.130,1266.630,1272.605,2041,240,0
1666015200,1273.130,1277.105,1267.630,1275.905,1881,240,0
1666018800,1276.130,1289.130,1274.880,1288.130,2005,240,0
1666022400,1288.655,1308.105,1287.105,1302.155,2595,240,0
1666026000,1302.380,1310.380,1297.855,1301.630,2777,240,0
1666029600,1301.880,1307.405,1300.605,1306.905,1307,240,0
1666087200,1322.630,1331.155,1308.130,1330.155,1948,240,0
1666090800,1330.105,1333.630,1317.380,1319.130,2018,240,0
1666094400,1319.380,1320.630,1302.605,1311.130,2331,240,0
1666098000,1310.905,1313.155,1305.630,1311.630,2171,240,0
1666101600,1311.880,1323.630,1311.105,1322.380,2040,240,0
1666105200,1322.605,1333.605,1322.380,1329.905,2116,240,0
1666108800,1329.855,1331.405,1322.630,1326.155,2504,240,0
1666112400,1326.405,1327.880,1318.130,1319.655,2501,240,0
1666116000,1319.130,1322.630,1313.605,1317.105,1281,240,0
1666173600,1315.880,1317.380,1304.130,1312.880,1843,240,0
1666177200,1312.630,1316.405,1307.130,1316.405,2124,240,0
1666180800,1315.880,1325.655,1315.855,1324.855,2074,240,0
1666184400,1324.905,1325.405,1313.605,1315.155,2006,240,0
1666188000,1315.105,1318.155,1309.355,1311.630,2070,240,0
1666191600,1311.605,1314.355,1307.105,1312.655,2179,240,0
1666195200,1312.880,1315.630,1301.105,1302.130,2358,240,0
1666198800,1301.880,1312.130,1300.105,1303.155,2398,240,0
1666202400,1302.905,1306.405,1297.605,1306.130,1047,240,0
1666260000,1346.380,1360.630,1318.355,1318.355,1811,240,0
1666263600,1318.405,1320.655,1306.105,1307.155,2143,240,0
1666267200,1307.380,1327.905,1306.105,1326.155,1973,240,0
1666270800,1325.905,1333.655,1320.355,1329.380,1870,240,0
1666274400,1329.130,1329.655,1314.355,1318.405,2091,240,0
1666278000,1318.355,1322.630,1309.380,1312.105,2521,240,0
1666281600,1312.155,1323.155,1307.655,1319.880,2591,240,0
1666285200,1319.630,1329.155,1318.880,1325.155,2247,240,0
1666288800,1325.380,1325.605,1320.605,1321.380,979,240,0
1666346400,1301.130,1305.105,1283.130,1298.405,2185,240,0
1666350000,1297.905,1301.130,1285.105,1299.355,2310,240,0
1666353600,1299.605,1304.655,1292.130,1302.630,2407,240,0
1666357200,1302.605,1304.405,1298.130,1298.855,2418,240,0
1666360800,1298.630,1300.130,1289.105,1289.855,2246,240,0
1666364400,1289.905,1296.405,1285.605,1295.905,2452,240,0
1666368000,1295.880,1305.380,1291.380,1300.380,3933,240,0
1666371600,1300.605,1307.605,1292.155,1296.655,3489,240,0
1666375200,1296.605,1301.155,1295.105,1300.105,1555,240,0
1666605600,1287.630,1301.630,1269.880,1291.880,2775,240,0
