time,open,high,low,close,tick_volume,spread,real_volume
946864800,52.56,52.88,50.25,51.31,402,0,0
946951200,49.56,50.69,46.50,46.75,558,0,0
947037600,44.38,46.63,43.25,45.06,609,0,0
947124000,46.50,46.88,44.75,44.87,264,0,0
947210400,53.50,60.00,53.25,60.00,701,0,0
947469600,58.50,60.31,58.00,59.94,319,0,0
947556000,58.12,59.44,57.56,58.06,371,0,0
947642400,59.94,61.12,59.38,60.50,293,0,0
947728800,63.31,64.50,61.56,63.00,558,0,0
947815200,63.94,63.94,62.00,62.50,245,0,0
948160800,60.19,61.25,59.62,61.00,246,0,0
948247200,59.38,60.81,59.38,60.81,144,0,0
948333600,62.62,62.81,60.94,62.00,313,0,0
948420000,60.81,61.50,60.31,61.50,170,0,0
948679200,62.00,64.50,62.00,62.50,451,0,0
948765600,64.56,65.50,63.88,64.69,312,0,0
948852000,64.37,70.00,63.88,69.00,762,0,0
948938400,67.75,69.44,67.06,68.56,396,0,0
949024800,69.00,71.38,68.06,68.31,596,0,0
949284000,65.62,65.81,63.81,65.19,358,0,0
949370400,65.50,66.62,65.00,66.44,231,0,0
949456800,64.56,65.69,63.94,65.00,307,0,0
949543200,65.56,66.38,64.88,66.25,232,0,0
949629600,67.44,69.88,67.44,68.87,346,0,0
949888800,68.81,68.87,66.88,68.56,374,0,0
949975200,71.00,73.56,70.94,71.87,438,0,0
950061600,73.00,73.88,72.00,72.38,315,0,0
950148000,70.69,71.44,69.38,70.88,394,0,0
950234400,71.87,72.13,68.50,69.25,465,0,0
950493600,68.25,69.81,68.00,69.62,226,0,0
950580000,67.75,68.00,66.38,67.63,313,0,0
950666400,66.81,68.75,66.81,68.00,270,0,0
950752800,71.12,72.44,70.75,71.31,320,0,0
950839200,72.00,72.44,70.25,70.69,308,0,0
951184800,72.00,72.88,71.31,72.25,290,0,0
951357600,74.62,75.00,71.00,72.81,620,0,0
951444000,71.00,72.50,70.12,70.56,433,0,0
951703200,69.62,71.31,69.11,71.00,303,0,0
951789600,69.56,71.31,68.62,71.31,364,0,0
951876000,71.19,72.00,70.81,71.50,208,0,0
951962400,71.75,73.25,71.50,72.38,288,0,0
952048800,73.88,75.38,73.63,74.94,245,0,0
952308000,81.50,82.31,80.69,81.56,319,0,0
952394400,83.25,83.75,81.62,81.94,296,0,0
952480800,81.94,81.94,78.94,81.25,532,0,0
952567200,84.88,84.94,81.62,83.50,527,0,0
952653600,85.44,85.94,83.38,83.94,363,0,0
952912800,78.88,81.00,77.87,79.94,521,0,0
952999200,80.06,80.50,77.06,77.44,427,0,0
953085600,75.25,75.44,71.50,72.44,508,0,0
953172000,74.00,74.56,69.13,71.81,868,0,0
953258400,70.69,73.88,70.69,73.00,408,0,0
953517600,77.50,78.69,75.62,76.31,496,0,0
953604000,75.00,75.94,73.50,75.25,464,0,0
953690400,75.25,76.69,74.00,76.69,395,0,0
953776800,73.63,74.25,72.00,72.81,369,0,0
953863200,72.44,74.94,72.25,74.44,339,0,0
954126000,74.87,76.56,74.50,75.50,350,0,0
954212400,75.31,76.00,72.06,72.13,471,0,0
954298800,68.75,69.62,56.00,59.00,1750,0,0
954385200,60.94,62.31,57.25,58.00,719,0,0
954471600,61.25,61.50,57.25,59.75,701,0,0
954730800,58.63,58.63,52.88,54.50,738,0,0
954817200,55.81,55.81,49.00,53.12,1094,0,0
954903600,52.31,57.75,52.25,55.37,795,0,0
954990000,59.06,59.44,58.00,59.19,276,0,0
955076400,59.31,59.94,57.38,58.56,438,0,0
955335600,56.50,56.69,53.81,54.06,333,0,0
955422000,52.00,54.00,51.88,53.87,238,0,0
955508400,54.38,54.88,50.00,50.00,539,0,0
955594800,51.25,51.44,49.12,49.75,315,0,0
955681200,47.25,49.06,45.13,45.94,656,0,0
955940400,48.19,51.25,48.13,50.50,394,0,0
956026800,51.13,51.19,47.81,49.81,545,0,0
956113200,52.50,52.94,48.13,48.38,551,0,0
956199600,47.50,48.00,43.12,44.44,671,0,0
956545200,42.00,42.81,40.75,42.81,332,0,0
956631600,46.88,48.75,45.44,48.75,476,0,0
956718000,49.00,49.31,48.00,48.38,201,0,0
956804400,46.75,48.38,46.75,48.00,202,0,0
956890800,48.94,49.25,48.44,49.12,145,0,0
957150000,49.37,51.50,49.37,51.00,264,0,0
957236400,51.44,51.81,49.94,50.00,231,0,0
957322800,49.56,49.56,46.50,47.44,401,0,0
957409200,48.38,48.50,46.63,48.06,343,0,0
957495600,48.25,50.25,48.25,50.19,207,0,0
957754800,49.50,49.75,47.44,48.50,363,0,0
957841200,48.50,48.50,46.44,46.75,238,0,0
957927600,45.69,45.69,43.00,43.94,364,0,0
958014000,44.56,45.31,43.37,45.31,314,0,0
958100400,46.50,46.88,45.69,46.12,201,0,0
958359600,45.69,45.94,44.87,45.62,208,0,0
958446000,46.12,47.19,45.88,47.19,156,0,0
958532400,45.50,46.25,44.62,45.38,315,0,0
958618800,45.25,45.25,43.50,43.75,201,0,0
958705200,41.38,41.81,40.81,41.56,183,0,0
958964400,40.88,41.62,39.44,41.44,381,0,0
959050800,41.44,42.56,40.88,40.94,287,0,0
959137200,41.50,42.81,40.44,42.56,369,0,0
959223600,43.44,44.38,40.88,41.62,519,0,0
959310000,42.00,42.69,41.31,42.06,271,0,0
959655600,42.56,44.12,42.56,44.00,169,0,0
959742000,43.56,44.69,42.75,42.88,321,0,0
959828400,44.00,46.50,43.81,46.19,320,0,0
960174000,48.12,49.38,47.88,49.38,175,0,0
960260400,49.50,49.50,47.38,47.56,231,0,0
960346800,47.94,49.19,47.81,49.12,159,0,0
960433200,50.12,50.38,48.50,48.69,234,0,0
960778800,47.81,47.81,46.62,46.75,133,0,0
960865200,46.62,46.88,45.81,46.75,202,0,0
960951600,49.12,50.19,48.75,48.81,258,0,0
961038000,50.69,50.75,49.62,50.44,202,0,0
961124400,50.56,50.56,49.06,49.25,170,0,0
961383600,50.00,51.94,49.44,51.69,332,0,0
961470000,52.69,53.56,52.25,53.50,182,0,0
961556400,51.31,51.75,50.19,51.75,269,0,0
961642800,51.62,51.69,49.12,49.12,265,0,0
961729200,49.56,50.00,48.25,50.00,307,0,0
961988400,50.44,51.25,49.12,49.62,345,0,0
962074800,49.88,51.00,49.56,50.38,239,0,0
962161200,49.19,50.25,49.19,49.75,157,0,0
962247600,46.38,47.69,45.75,47.25,302,0,0
962334000,46.00,47.00,45.69,46.62,201,0,0
962593200,46.19,47.25,45.62,46.88,258,0,0
962766000,47.94,48.69,46.06,46.31,364,0,0
962852400,45.75,46.50,45.31,46.25,189,0,0
962938800,46.25,47.62,46.06,46.69,269,0,0
963198000,46.62,47.44,46.38,47.00,175,0,0
963284400,46.69,46.94,45.81,46.06,164,0,0
963370800,48.81,49.44,47.94,48.75,295,0,0
963457200,51.25,52.12,50.81,51.38,250,0,0
963543600,51.94,52.50,51.19,52.31,226,0,0
963802800,54.25,55.12,53.31,54.69,319,0,0
963889200,52.62,52.62,51.94,52.12,87,0,0
963975600,50.00,51.25,49.75,49.75,276,0,0
964062000,54.75,59.50,54.75,58.75,551,0,0
964148400,58.00,59.62,57.06,59.12,401,0,0
964407600,59.50,60.56,57.31,57.69,470,0,0
964494000,58.25,58.31,56.75,57.50,238,0,0
964580400,56.88,57.31,55.69,56.56,293,0,0
964666800,57.12,57.38,54.62,54.88,329,0,0
964753200,54.38,55.06,52.75,53.50,375,0,0
965012400,55.88,56.00,55.00,55.75,188,0,0
965098800,56.62,57.31,56.25,56.56,207,0,0
965185200,56.31,56.56,55.75,55.81,113,0,0
965271600,52.50,54.38,52.00,54.25,302,0,0
965358000,55.19,55.50,54.00,54.12,194,0,0
965617200,55.12,55.81,54.75,55.81,144,0,0
965703600,55.25,56.69,55.19,56.62,164,0,0
965790000,57.44,57.56,56.75,57.56,151,0,0
965876400,57.44,58.75,57.12,58.12,259,0,0
965962800,60.00,62.00,59.62,62.00,277,0,0
966222000,61.31,63.50,60.44,63.38,406,0,0
966308400,61.38,61.75,60.69,61.12,187,0,0
966394800,61.31,62.44,61.31,62.38,120,0,0
966481200,60.81,62.81,60.81,62.62,220,0,0
966567600,61.81,61.81,60.69,61.62,206,0,0
966826800,59.94,60.31,59.12,60.00,233,0,0
966913200,60.00,60.25,59.19,59.25,138,0,0
966999600,58.25,59.25,57.62,59.12,240,0,0
967086000,59.62,60.62,59.44,60.50,149,0,0
967172400,61.94,62.81,61.88,62.81,100,0,0
967604400,61.25,61.38,60.25,61.00,202,0,0
967690800,63.12,64.19,63.06,64.19,120,0,0
967777200,66.69,68.19,66.25,67.81,277,0,0
968122800,67.69,68.88,67.44,67.81,277,0,0
968209200,65.00,65.19,63.75,63.88,177,0,0
968295600,63.75,66.00,63.56,65.12,352,0,0
968382000,64.12,64.12,62.69,63.31,206,0,0
968641200,63.25,63.31,60.75,61.44,332,0,0
968727600,61.56,62.25,60.19,60.44,301,0,0
968814000,58.88,59.69,58.62,59.69,134,0,0
968900400,61.62,61.81,58.75,59.19,370,0,0
968986800,59.12,59.19,57.31,57.56,221,0,0
969246000,57.56,57.56,55.31,55.44,239,0,0
969332400,55.56,57.12,55.56,56.75,194,0,0
969418800,56.94,57.62,55.06,56.00,419,0,0
969505200,54.69,55.69,53.81,54.31,339,0,0
969591600,54.75,59.00,54.38,59.00,500,0,0
969850800,59.75,60.75,57.88,58.00,400,0,0
969937200,59.81,60.25,58.88,59.94,262,0,0
970023600,62.00,62.12,61.00,61.38,163,0,0
970110000,60.00,63.31,60.00,63.31,332,0,0
970196400,62.50,63.00,61.31,61.50,239,0,0
970455600,62.50,63.44,62.00,62.19,258,0,0
970542000,62.50,62.88,59.38,59.50,401,0,0
970628400,57.50,60.50,56.56,59.38,601,0,0
970714800,56.25,56.50,55.38,56.12,212,0,0
970801200,56.06,56.25,50.88,52.50,719,0,0
971060400,51.56,51.56,50.12,50.62,195,0,0
971146800,51.25,51.44,49.38,49.75,263,0,0
971233200,46.31,48.88,46.19,47.38,432,0,0
971319600,49.62,49.81,47.12,47.50,327,0,0
971406000,50.00,53.56,49.88,53.06,431,0,0
971665200,52.38,52.94,51.50,52.25,276,0,0
971751600,52.44,52.94,50.50,50.94,339,0,0
971838000,48.44,52.50,48.25,51.44,551,0,0
971924400,49.75,50.31,46.69,47.31,481,0,0
972010800,44.75,46.12,44.25,46.12,238,0,0
972270000,44.56,46.25,44.00,46.25,282,0,0
972356400,48.00,50.12,47.88,48.56,393,0,0
972442800,46.69,48.12,45.44,45.62,430,0,0
972529200,47.38,48.19,46.19,47.88,351,0,0
972615600,49.62,49.94,48.62,49.75,252,0,0
972871200,48.19,49.00,47.44,48.19,313,0,0
972957600,49.44,51.00,49.12,51.00,221,0,0
973044000,50.56,51.44,50.25,51.19,176,0,0
973130400,51.00,51.00,49.38,50.56,281,0,0
973216800,50.62,51.62,50.62,51.25,138,0,0
973476000,52.50,53.12,52.12,52.25,176,0,0
973562400,50.81,51.88,50.69,51.81,139,0,0
973648800,51.12,51.44,49.94,50.00,189,0,0
973735200,47.56,49.56,47.25,49.12,307,0,0
973821600,45.81,46.44,44.62,45.56,340,0,0
974080800,42.56,44.50,42.56,43.44,301,0,0
974167200,44.56,46.44,44.56,46.31,202,0,0
974253600,44.94,46.00,44.44,45.06,301,0,0
974340000,43.25,43.38,40.56,40.56,296,0,0
974426400,42.06,42.75,40.44,40.88,345,0,0
974685600,40.12,40.44,39.19,39.19,158,0,0
974772000,40.12,41.06,39.62,40.06,283,0,0
974858400,37.19,37.50,36.00,36.62,244,0,0
975031200,38.88,39.06,37.75,37.94,169,0,0
975290400,39.38,39.75,38.31,38.81,232,0,0
975376800,36.94,37.31,35.50,35.81,250,0,0
975463200,34.94,35.25,33.56,34.19,264,0,0
975549600,32.62,34.00,32.12,33.25,314,0,0
975636000,34.12,35.69,34.12,34.69,258,0,0
975895200,34.75,35.44,34.56,35.06,146,0,0
975981600,36.44,39.75,36.44,39.44,363,0,0
976068000,39.31,40.69,37.81,38.81,527,0,0
976154400,37.94,39.00,37.56,37.81,276,0,0
976240800,40.38,41.12,39.38,39.75,286,0,0
976500000,41.38,42.38,40.88,42.38,201,0,0
976586400,41.31,41.31,39.69,39.81,175,0,0
976672800,40.31,40.38,38.50,38.50,196,0,0
976759200,38.94,39.38,37.50,37.50,233,0,0
976845600,35.75,36.31,34.75,35.69,307,0,0
977104800,34.94,35.25,34.12,34.62,195,0,0
977191200,34.69,36.31,34.12,34.19,389,0,0
977277600,33.50,33.69,31.88,31.94,207,0,0
977364000,31.50,33.62,31.00,31.75,500,0,0
977450400,32.81,33.75,30.56,32.06,564,0,0
977796000,32.06,32.75,31.44,32.75,194,0,0
977882400,32.75,33.19,32.06,33.00,202,0,0
977968800,33.25,33.69,33.19,33.56,70,0,0
978055200,33.62,34.44,33.12,33.69,258,0,0
978400800,32.31,32.38,30.00,30.31,277,0,0
978487200,29.19,35.88,29.12,35.75,697,0,0
978573600,31.06,31.56,29.50,29.81,288,0,0
978660000,30.88,30.94,29.12,29.25,202,0,0
978919200,36.06,36.31,33.38,36.12,581,0,0
979005600,36.00,38.75,36.00,38.75,276,0,0
979092000,37.00,40.12,36.81,40.00,363,0,0
979178400,41.12,44.06,40.88,43.88,361,0,0
979264800,41.50,43.25,41.38,42.31,294,0,0
979610400,40.12,41.69,39.88,41.69,206,0,0
979696800,44.00,44.31,43.19,44.12,213,0,0
979783200,43.19,44.25,42.62,44.19,227,0,0
979869600,45.31,45.38,43.56,44.75,309,0,0
980128800,42.12,44.69,42.12,44.62,265,0,0
980215200,43.56,44.75,41.94,43.00,507,0,0
980301600,45.00,46.38,44.75,45.69,258,0,0
980388000,46.81,47.50,46.00,46.06,226,0,0
980474400,45.56,46.19,45.25,45.56,189,0,0
980733600,45.70,46.74,45.35,46.31,218,0,0
980820000,46.99,46.99,45.90,46.85,205,0,0
980906400,48.25,49.10,47.53,47.64,254,0,0
980992800,47.64,47.93,47.10,47.42,145,0,0
981079200,47.51,47.76,45.00,45.83,385,0,0
981338400,46.42,46.74,45.87,46.09,142,0,0
981424800,45.82,45.89,45.28,45.36,77,0,0
981511200,44.32,44.74,43.13,44.04,295,0,0
981597600,44.08,44.36,42.85,42.86,181,0,0
981684000,42.74,42.98,41.70,41.73,156,0,0
981943200,41.73,42.45,41.52,42.20,140,0,0
982029600,42.44,42.65,41.74,41.92,131,0,0
982116000,41.05,42.39,40.10,42.30,334,0,0
982202400,43.64,44.40,43.37,43.51,194,0,0
982288800,42.89,44.34,42.88,44.34,148,0,0
982634400,43.80,44.20,42.64,42.80,213,0,0
982720800,42.79,43.58,41.60,42.40,358,0,0
