time,open,high,low,close,tick_volume,spread,real_volume
1213387200,78.33000,78.37000,78.29000,78.37000,174,6000,0
1213390800,78.36000,78.41000,78.30000,78.36000,183,6000,0
1213574400,78.42000,78.54000,78.42000,78.54000,172,6000,0
1213578000,78.57000,78.57000,78.43000,78.52000,375,6000,0
1213581600,78.53000,78.54000,78.46000,78.51000,340,6000,0
1213585200,78.52000,78.68000,78.51000,78.64000,349,6000,0
1213588800,78.65000,78.69000,78.60000,78.66000,238,6000,0
1213592400,78.65000,78.69000,78.58000,78.66000,222,6000,0
1213596000,78.65000,78.69000,78.63000,78.69000,203,6000,0
1213599600,78.68000,78.80000,78.66000,78.77000,724,6000,0
1213603200,78.78000,78.79000,78.68000,78.77000,654,6000,0
1213606800,78.76000,78.82000,78.66000,78.70000,626,6000,0
1213610400,78.71000,78.89000,78.66000,78.79000,480,6000,0
1213614000,78.80000,78.83000,78.69000,78.79000,543,6000,0
1213617600,78.78000,78.82000,78.59000,78.66000,405,6000,0
1213621200,78.65000,78.68000,78.47000,78.57000,852,6000,0
1213624800,78.58000,78.74000,78.52000,78.72000,863,6000,0
1213628400,78.71000,78.83000,78.64000,78.80000,580,6000,0
1213632000,78.81000,78.85000,78.71000,78.78000,374,6000,0
1213635600,78.77000,78.78000,78.66000,78.77000,252,6000,0
1213639200,78.76000,78.85000,78.66000,78.83000,419,6000,0
1213642800,78.82000,78.83000,78.73000,78.78000,283,6000,0
1213646400,78.77000,78.80000,78.72000,78.76000,275,6000,0
1213650000,78.77000,78.90000,78.77000,78.89000,227,6000,0
1213653600,78.85000,78.90000,78.82000,78.85000,73,6000,0
1213657200,78.84000,78.85000,78.75000,78.80000,84,6000,0
1213660800,78.79000,78.84000,78.77000,78.81000,150,6000,0
1213664400,78.80000,78.92000,78.79000,78.86000,361,6000,0
1213668000,78.87000,78.91000,78.75000,78.83000,849,6000,0
1213671600,78.85000,78.91000,78.74000,78.88000,524,6000,0
1213675200,78.87000,78.90000,78.80000,78.85000,334,6000,0
1213678800,78.86000,78.89000,78.81000,78.88000,341,6000,0
1213682400,78.89000,78.89000,78.80000,78.80000,288,6000,0
1213686000,78.81000,78.89000,78.77000,78.86000,697,6000,0
1213689600,78.87000,78.94000,78.66000,78.78000,884,6000,0
1213693200,78.79000,79.05000,78.74000,79.00000,731,6000,0
1213696800,78.99000,79.05000,78.89000,78.95000,730,6000,0
1213700400,78.94000,79.03000,78.93000,78.98000,480,6000,0
1213704000,78.97000,79.06000,78.97000,79.04000,375,6000,0
1213707600,79.05000,79.18000,79.00000,79.12000,743,6000,0
1213711200,79.13000,79.15000,78.98000,79.05000,756,6000,0
1213714800,79.04000,79.12000,78.97000,79.01000,704,6000,0
1213718400,79.00000,79.09000,78.89000,78.92000,682,6000,0
1213722000,78.91000,78.97000,78.87000,78.90000,407,6000,0
1213725600,78.89000,79.00000,78.87000,78.97000,319,6000,0
1213729200,78.98000,78.99000,78.91000,78.94000,264,6000,0
1213732800,78.93000,78.96000,78.90000,78.95000,182,6000,0
1213736400,78.94000,79.00000,78.92000,78.93000,173,6000,0
1213740000,78.94000,78.99000,78.91000,78.97000,72,6000,0
1213743600,78.98000,78.98000,78.91000,78.96000,86,6000,0
1213747200,78.97000,78.99000,78.89000,78.93000,181,6000,0
1213750800,78.92000,79.07000,78.91000,79.02000,283,6000,0
1213754400,79.01000,79.08000,78.98000,79.03000,307,6000,0
1213758000,79.02000,79.08000,78.95000,78.95000,366,6000,0
1213761600,78.94000,79.01000,78.93000,78.97000,149,6000,0
1213765200,78.98000,78.98000,78.91000,78.92000,192,6000,0
1213768800,78.91000,79.01000,78.85000,78.99000,372,6000,0
1213772400,79.00000,79.01000,78.91000,78.97000,584,6000,0
1213776000,78.98000,79.10000,78.96000,79.02000,551,6000,0
1213779600,79.01000,79.08000,78.95000,78.99000,616,6000,0
1213783200,78.98000,79.07000,78.97000,79.02000,447,6000,0
1213786800,79.01000,79.10000,78.93000,78.98000,568,6000,0
1213790400,78.99000,79.05000,78.94000,78.96000,492,6000,0
1213794000,78.95000,79.01000,78.87000,78.93000,601,6000,0
1213797600,78.94000,78.94000,78.77000,78.79000,647,6000,0
1213801200,78.78000,78.80000,78.70000,78.72000,918,6000,0
1213804800,78.73000,78.88000,78.73000,78.83000,508,6000,0
