time,open,high,low,close,tick_volume,spread,real_volume
1468465200,7.83,7.83,7.73,7.80,18,0,0
1468551600,7.76,7.91,7.71,7.74,39,0,0
1468810800,7.70,7.85,7.70,7.79,22,0,0
1468897200,7.68,7.89,7.68,7.77,34,0,0
1468983600,7.70,7.85,7.70,7.78,23,0,0
1469070000,7.71,7.87,7.71,7.82,22,0,0
1469156400,7.76,7.83,7.73,7.78,19,0,0
1469415600,7.76,7.82,7.71,7.79,20,0,0
1469502000,7.85,7.85,7.68,7.69,19,0,0
1469588400,7.66,7.80,7.65,7.73,24,0,0
1469674800,7.71,7.80,7.61,7.66,34,0,0
1469761200,7.68,7.86,7.31,7.54,97,0,0
1470020400,7.61,7.73,7.52,7.62,42,0,0
1470106800,7.61,7.72,7.51,7.53,35,0,0
1470193200,7.60,7.60,7.40,7.47,28,0,0
1470279600,7.57,7.60,7.50,7.54,18,0,0
1470366000,7.60,7.63,7.56,7.57,12,0,0
1470625200,7.50,7.65,7.50,7.64,17,0,0
1470798000,7.45,7.70,7.45,7.62,34,0,0
1470884400,7.53,7.70,7.53,7.59,29,0,0
1470970800,7.62,7.66,7.53,7.57,22,0,0
1471230000,7.52,7.60,7.50,7.58,15,0,0
1471316400,7.52,7.65,7.52,7.59,20,0,0
1471402800,7.60,7.64,7.58,7.64,9,0,0
1471489200,7.65,7.69,7.50,7.67,37,0,0
1471575600,7.59,7.71,7.58,7.62,24,0,0
1471834800,7.59,7.70,7.58,7.64,20,0,0
1471921200,7.70,7.70,7.59,7.66,19,0,0
1472007600,7.65,7.70,7.60,7.69,17,0,0
1472094000,7.68,7.74,7.61,7.74,21,0,0
1472180400,7.63,7.76,7.63,7.65,25,0,0
1472439600,7.61,7.63,7.55,7.56,12,0,0
1472526000,7.56,7.65,7.56,7.62,13,0,0
1472612400,7.59,7.74,7.52,7.56,42,0,0
1472698800,7.55,7.62,7.52,7.54,20,0,0
1472785200,7.55,7.61,7.52,7.54,18,0,0
1473044400,7.58,7.64,7.53,7.64,17,0,0
1473130800,7.63,7.74,7.60,7.70,22,0,0
1473217200,7.57,7.75,7.56,7.61,35,0,0
1473303600,7.62,7.69,7.56,7.59,24,0,0
1473390000,7.65,7.65,7.56,7.57,11,0,0
1473735600,7.59,7.59,7.50,7.50,10,0,0
1473822000,7.55,7.58,7.47,7.49,17,0,0
1473908400,7.55,7.59,7.44,7.46,22,0,0
1473994800,7.47,7.61,7.43,7.48,36,0,0
1474254000,7.47,7.59,7.45,7.52,24,0,0
1474340400,7.52,7.55,7.45,7.53,20,0,0
1474426800,7.56,7.60,7.48,7.53,22,0,0
1474513200,7.56,7.63,7.50,7.51,22,0,0
1474599600,7.56,7.60,7.47,7.47,18,0,0
1474858800,7.49,7.56,7.46,7.47,19,0,0
1474945200,7.48,7.53,7.45,7.47,16,0,0
1475031600,7.40,7.43,7.38,7.38,9,0,0
1475118000,7.41,7.47,7.39,7.45,13,0,0
1475204400,7.44,10.01,7.36,7.40,527,0,0
1475463600,7.48,7.49,7.41,7.42,11,0,0
1475550000,7.48,7.49,7.40,7.43,14,0,0
1475636400,7.43,7.49,7.40,7.49,13,0,0
1475722800,7.44,7.50,7.44,7.47,10,0,0
1475809200,7.43,7.50,7.40,7.42,20,0,0
1476068400,7.40,7.45,7.40,7.43,8,0,0
1476154800,7.45,7.50,7.38,7.39,19,0,0
1476241200,7.41,7.42,7.28,7.28,16,0,0
1476327600,7.28,7.30,7.23,7.26,13,0,0
1476414000,7.29,7.33,7.22,7.23,17,0,0
1476673200,7.24,7.27,7.16,7.21,20,0,0
1476759600,7.24,7.28,7.20,7.23,16,0,0
1476846000,7.22,7.30,7.16,7.19,26,0,0
1476932400,7.17,7.26,7.17,7.22,14,0,0
1477018800,7.17,7.24,7.16,7.21,13,0,0
1477278000,7.23,7.31,7.16,7.30,24,0,0
1477364400,7.21,7.38,7.15,7.24,44,0,0
1477450800,7.24,7.31,7.18,7.22,25,0,0
1477537200,7.24,7.28,7.18,7.18,15,0,0
