time,open,high,low,close,tick_volume,spread,real_volume
1628726400,41.03,41.82,39.07,40.84,124935,0,0
1628812800,40.85,44.64,39.48,43.89,201353,0,0
1629072000,52.51,69.19,51.88,64.38,460603,0,0
1629158400,64.37,74.99,58.30,65.84,510358,0,0
1629244800,66.64,80.27,59.00,71.86,600919,0,0
1629331200,71.98,76.27,67.75,72.67,491607,0,0
1629417600,72.73,78.99,70.71,78.42,374610,0,0
1629676800,71.67,75.94,71.20,73.57,309367,0,0
1629763200,73.56,79.48,68.44,72.38,412128,0,0
1629849600,72.35,72.73,65.74,70.35,286379,0,0
1629936000,70.37,78.25,66.11,75.39,370935,0,0
1630022400,75.28,87.64,72.34,87.14,437127,0,0
1630108800,87.01,96.48,85.57,95.30,410974,0,0
1630195200,95.26,97.85,90.39,94.12,388551,0,0
1630281600,94.20,116.23,92.71,110.87,499471,0,0
1630368000,110.97,130.03,106.56,109.18,526981,0,0
1630454400,109.35,119.61,102.98,113.02,561293,0,0
1630540800,112.81,128.76,109.27,127.67,487788,0,0
1630627200,127.64,146.25,125.99,141.88,560750,0,0
1630713600,141.88,150.82,135.90,140.26,509874,0,0
1630800000,140.40,145.08,134.69,138.51,471957,0,0
1630886400,138.51,164.59,137.06,163.55,529382,0,0
1630972800,163.84,195.25,136.91,169.97,644886,0,0
1631059200,170.07,198.32,146.74,188.53,725784,0,0
1631145600,189.06,216.28,180.38,184.86,748846,0,0
1631232000,184.43,198.83,168.06,175.11,663663,0,0
1631318400,174.82,193.32,170.40,180.76,647171,0,0
1631404800,180.64,184.22,170.35,170.75,471846,0,0
1631491200,170.84,177.46,150.25,169.34,592825,0,0
1631577600,169.00,174.89,150.97,151.25,548680,0,0
1631664000,150.96,167.15,142.55,157.84,540911,0,0
1631750400,158.10,163.36,147.45,147.76,442279,0,0
1631836800,148.08,153.50,133.78,142.30,520796,0,0
1631923200,141.93,165.29,140.34,160.30,538793,0,0
1632009600,160.17,171.37,152.99,156.64,485884,0,0
