time,open,high,low,close,tick_volume,spread,real_volume
1599706800,8792.50,8800.83,8509.16,8539.16,99001,0,0
1599793200,8565.83,8595.00,8431.66,8520.00,84251,0,0
1600052400,8495.83,8551.66,8423.33,8507.50,73501,0,0
1600138800,8652.50,8738.33,8588.33,8609.16,77001,0,0
1600225200,8664.16,8718.33,8620.00,8710.83,45001,0,0
1600311600,8789.16,8789.16,8667.50,8721.66,52751,0,0
1600398000,8732.50,8789.16,8711.66,8755.00,39751,0,0
1600830000,8795.83,8987.50,8775.83,8976.66,72751,0,0
1600916400,9024.16,9191.66,8960.83,9160.83,97501,0,0
1601002800,9232.50,9241.66,9118.33,9180.83,58501,0,0
1601262000,9227.50,9229.16,8940.00,8985.83,101001,0,0
1601348400,8979.16,9308.33,8965.83,9267.50,119001,0,0
1601434800,9207.50,9311.66,9115.00,9129.16,94501,0,0
1601521200,9160.83,9160.83,9160.83,9160.83,1,0,0
1601607600,9359.16,9359.16,9167.50,9201.66,67751,0,0
1601866800,9192.50,9223.33,8982.50,9031.66,96251,0,0
1601953200,9100.83,9100.83,8981.66,9019.16,47001,0,0
1602039600,8970.83,9227.50,8970.83,9181.66,90751,0,0
1602126000,9239.16,9532.50,9217.50,9500.00,110751,0,0
1602212400,9640.83,9640.83,9427.50,9459.16,73501,0,0
1602558000,9529.16,9580.83,9480.00,9575.00,46751,0,0
1602644400,9614.16,9849.16,9614.16,9809.16,82501,0,0
1602730800,9665.83,9841.66,9644.16,9820.00,72251,0,0
1602817200,9750.83,9850.00,9617.50,9670.00,115251,0,0
1603076400,9638.33,9747.50,9638.33,9698.33,47501,0,0
1603162800,9732.50,9870.00,9706.66,9740.00,95751,0,0
1603249200,9772.50,9803.33,9702.50,9721.66,45251,0,0
1603335600,9636.66,9750.00,9635.00,9742.50,37251,0,0
1603422000,9679.16,9697.50,9480.83,9502.50,77001,0,0
1603677600,9551.66,9565.00,9419.16,9471.66,63501,0,0
1603764000,9369.16,9500.83,9349.16,9490.83,54501,0,0
1603850400,9367.50,9595.83,9367.50,9581.66,72751,0,0
1603936800,9530.83,9679.16,9455.00,9677.50,90501,0,0
1604282400,9368.33,9370.00,9123.33,9279.16,121251,0,0
1604455200,9417.50,9465.00,9280.00,9330.00,84751,0,0
1604541600,9529.16,9806.66,9470.00,9670.00,159751,0,0
1604628000,9542.50,9730.83,9542.50,9685.00,70251,0,0
1604887200,9765.83,10041.66,9765.83,9997.50,96001,0,0
1604973600,9977.50,10030.00,9771.66,9841.66,114251,0,0
1605060000,9764.16,10010.00,9744.16,9974.16,96501,0,0
1605146400,10065.00,10128.33,9980.00,10071.66,87001,0,0
1605232800,10085.00,10381.66,10050.00,10301.66,134001,0,0
1605578400,10858.33,11141.66,10858.33,10991.66,130001,0,0
1605664800,10701.66,10935.00,10701.66,10806.66,108501,0,0
1605751200,10665.00,10691.66,10525.00,10598.33,80001,0,0
1605837600,10620.00,10763.33,10603.33,10710.00,69001,0,0
1606183200,11128.33,11365.00,10946.66,11246.66,215501,0,0
1606269600,11348.33,11476.66,11273.33,11313.33,111501,0,0
1606356000,11341.66,11665.00,11321.66,11658.33,111001,0,0
1606442400,11635.00,11745.00,11510.00,11735.00,111001,0,0
1606701600,11905.00,11980.00,11741.66,11865.00,131001,0,0
1606788000,11928.33,12285.00,11920.00,12255.00,121001,0,0
1606874400,12495.00,12498.33,12185.00,12273.33,121501,0,0
1606960800,12268.33,12580.00,12268.33,12520.00,111501,0,0
1607047200,12338.33,12373.33,12045.00,12126.66,133501,0,0
1607306400,12281.66,12405.00,12175.00,12305.00,131001,0,0
1607392800,12278.33,12546.66,12191.66,12463.33,157501,0,0
1607479200,12401.66,12521.66,12295.00,12371.66,127001,0,0
1607565600,12201.66,12223.33,12061.66,12150.00,81501,0,0
1607652000,12028.33,12188.33,12028.33,12128.33,66001,0,0
1607911200,12155.00,12295.00,12100.00,12228.33,95001,0,0
1607997600,12061.66,12185.00,12020.00,12148.33,73001,0,0
1608084000,12291.66,12291.66,12078.33,12086.66,66501,0,0
1608170400,12151.66,12426.66,12140.00,12405.00,96001,0,0
1608516000,12158.33,12223.33,12031.66,12138.33,109001,0,0
1608602400,12110.00,12191.66,11995.00,12016.66,90001,0,0
1608688800,12098.33,12181.66,12021.66,12178.33,72001,0,0
1608775200,12151.66,12176.66,12106.66,12163.33,38501,0,0
1608861600,12185.00,12198.33,12128.33,12153.33,32501,0,0
1609120800,12110.00,12468.33,12110.00,12456.66,111001,0,0
1609207200,12501.66,12931.66,12476.66,12895.00,155001,0,0
1609293600,12806.66,12958.33,12728.33,12795.00,134501,0,0
1609639200,13165.00,13165.00,12671.66,12671.66,148001,0,0
1609725600,12678.33,12971.66,11371.66,12635.00,947001,0,0
1609812000,12638.33,15293.33,12635.00,12961.66,1498001,0,0
1609898400,12966.66,15090.00,10423.33,12865.00,2769501,0,0
1609984800,12866.66,13515.00,10716.66,13338.33,1537501,0,0
1610071200,13358.33,13640.00,13283.33,13543.33,158501,0,0
1610330400,13546.66,13648.33,11226.66,13558.33,1449501,0,0
1610416800,13555.00,15933.33,12701.66,13821.66,1859001,0,0
1610503200,13815.00,14430.00,11983.33,14148.33,1368001,0,0
1610589600,14151.66,16416.66,13835.00,14701.66,1384001,0,0
1610676000,14703.33,14885.00,14316.66,14616.66,315001,0,0
1610762400,14616.66,14616.66,14616.66,14616.66,1,0,0
1610848800,16966.66,16966.66,14101.66,14201.66,889501,0,0
1610935200,14400.00,16740.00,13835.00,14461.66,1724501,0,0
1611021600,14468.33,15666.66,14218.33,14935.00,729001,0,0
1611108000,14933.33,15331.66,14168.33,14848.33,672501,0,0
1611194400,14868.33,14903.33,13998.33,14656.66,479501,0,0
1611280800,14661.66,14730.00,14520.00,14520.00,83501,0,0
1611453600,14190.00,16836.66,14168.33,14611.66,1474501,0,0
1611540000,14615.00,16990.00,14475.00,14668.33,1493001,0,0
1611626400,14681.66,17136.66,14498.33,14535.00,1539001,0,0
1611712800,14538.33,16966.66,13268.33,13931.66,2037001,0,0
1611799200,13926.66,16290.00,12561.66,14231.66,2145501,0,0
1611885600,14201.66,14285.00,13215.00,13253.33,357501,0,0
1611972000,13253.33,13253.33,13253.33,13253.33,1,0,0
1612058400,13270.00,15603.33,12968.33,13000.00,1500001,0,0
1612144800,12998.33,15763.33,12998.33,13678.33,1455001,0,0
1612231200,13675.00,16050.00,13441.66,13928.33,1489001,0,0
1612317600,13925.00,15943.33,13085.00,13218.33,1503001,0,0
1612404000,13235.00,15590.00,13191.66,13475.00,1367001,0,0
1612490400,13468.33,13558.33,13285.00,13505.00,153001,0,0
1612663200,14000.00,14185.00,13353.33,13450.00,334001,0,0
1612749600,13451.66,16050.00,13295.00,13998.33,1489001,0,0
1612836000,13950.00,15000.00,13821.66,13966.66,702001,0,0
1612922400,13965.00,14013.33,13751.66,13800.00,107501,0,0
