time,open,high,low,close,tick_volume,spread,real_volume
946864800,48.56,49.00,46.63,47.00,319,0,0
946951200,47.06,47.75,43.50,44.25,570,0,0
947037600,45.00,45.25,44.44,44.94,157,0,0
947124000,44.56,45.00,43.13,43.75,294,0,0
947210400,44.56,44.75,43.38,44.13,232,0,0
947469600,44.75,45.00,44.25,44.75,151,0,0
947556000,44.69,44.94,43.81,44.13,171,0,0
947642400,43.50,43.56,41.50,41.81,244,0,0
947728800,42.38,42.94,40.75,40.81,282,0,0
947815200,41.25,42.00,40.00,42.00,326,0,0
948160800,42.13,43.06,40.88,41.13,337,0,0
948247200,41.00,41.00,40.00,40.56,157,0,0
948333600,40.81,41.56,40.06,41.00,282,0,0
948420000,42.88,43.38,42.00,43.00,265,0,0
948679200,43.44,43.50,40.94,42.00,369,0,0
948765600,41.00,41.13,38.56,40.00,415,0,0
948852000,40.50,40.50,39.69,40.00,113,0,0
948938400,40.06,40.31,39.00,39.00,157,0,0
949024800,39.31,40.44,39.00,39.25,283,0,0
949284000,39.50,43.50,39.06,42.88,551,0,0
949370400,43.00,43.00,41.75,42.38,189,0,0
949456800,43.00,43.13,42.50,42.50,77,0,0
949543200,43.00,43.19,41.31,42.00,277,0,0
949629600,42.00,42.38,41.56,42.00,165,0,0
949888800,41.38,42.31,41.06,41.88,201,0,0
949975200,42.50,43.00,42.00,42.06,157,0,0
950061600,42.31,42.81,42.00,42.63,131,0,0
950148000,42.38,42.44,41.94,42.13,76,0,0
950234400,42.00,42.06,39.75,40.44,307,0,0
950493600,39.50,41.50,39.44,40.88,275,0,0
950580000,40.00,41.00,39.56,40.69,220,0,0
950666400,40.38,40.69,38.75,39.06,257,0,0
950752800,38.94,40.00,38.00,40.00,295,0,0
950839200,38.06,38.25,36.00,38.25,432,0,0
951184800,37.25,37.31,35.56,36.50,276,0,0
951271200,36.00,36.50,34.81,35.75,314,0,0
951357600,35.44,35.88,34.81,35.50,209,0,0
951444000,36.00,36.69,34.94,35.44,295,0,0
951703200,35.75,37.50,35.75,37.00,226,0,0
951789600,37.19,38.13,37.13,37.75,145,0,0
951876000,40.06,42.00,39.75,42.00,257,0,0
951962400,43.00,46.00,42.81,45.25,414,0,0
952048800,45.50,46.00,44.19,45.56,357,0,0
952308000,44.56,44.56,42.75,43.38,245,0,0
952394400,43.56,44.50,41.88,41.88,357,0,0
952480800,41.88,42.06,41.38,41.63,112,0,0
952567200,41.38,41.63,40.63,41.56,183,0,0
952653600,41.56,42.50,41.44,42.00,169,0,0
952912800,41.25,44.00,41.06,43.69,345,0,0
952999200,43.75,43.75,42.00,42.13,189,0,0
953085600,42.63,43.00,42.31,42.50,126,0,0
953172000,43.94,45.50,42.94,45.13,394,0,0
953258400,45.38,46.81,45.13,45.75,300,0,0
953517600,45.13,45.75,44.19,44.44,244,0,0
953604000,44.56,45.38,43.81,45.25,246,0,0
953690400,44.38,44.94,43.00,43.31,282,0,0
953776800,42.44,44.00,42.38,43.56,213,0,0
953863200,43.06,43.69,42.56,43.00,221,0,0
954126000,43.13,43.63,42.44,43.19,233,0,0
954212400,42.69,43.38,42.44,42.50,170,0,0
954298800,42.94,43.88,41.94,42.25,320,0,0
954385200,43.00,43.38,41.56,41.63,228,0,0
954471600,42.50,43.00,42.00,42.13,164,0,0
954730800,42.50,44.88,42.44,44.75,264,0,0
954817200,45.00,47.19,44.75,46.00,389,0,0
954903600,46.00,47.13,45.88,46.31,220,0,0
954990000,46.06,47.31,46.00,46.61,208,0,0
955076400,47.00,47.19,45.31,46.38,315,0,0
955335600,46.00,46.44,45.56,46.25,152,0,0
955422000,46.31,48.25,46.06,47.25,345,0,0
955508400,47.94,49.00,47.00,47.00,307,0,0
955594800,47.31,47.31,46.00,47.00,232,0,0
955681200,45.63,46.63,42.00,42.63,627,0,0
955940400,43.50,43.56,40.88,41.88,375,0,0
956026800,41.13,41.94,40.44,41.50,264,0,0
956113200,41.44,42.63,41.13,41.94,251,0,0
956199600,42.00,42.38,40.94,41.19,208,0,0
956545200,41.19,42.44,41.00,42.25,183,0,0
956631600,42.81,45.44,42.44,44.94,388,0,0
956718000,45.00,45.19,43.50,44.00,239,0,0
956804400,43.75,44.25,43.00,43.25,201,0,0
956890800,43.50,44.31,43.25,43.81,182,0,0
957150000,44.13,45.13,43.69,44.63,239,0,0
957236400,44.50,44.50,41.75,42.38,339,0,0
957322800,42.31,42.69,41.69,41.94,164,0,0
957409200,42.00,42.00,40.81,41.06,145,0,0
957495600,41.06,43.19,41.06,43.00,233,0,0
957754800,42.63,42.94,41.88,42.88,188,0,0
