time,open,high,low,close,tick_volume,spread,real_volume
1764118800,6.191,6.288,6.191,6.205,381,54,0
1764122400,6.202,6.234,6.186,6.203,1831,54,0
1764126000,6.204,6.291,6.189,6.247,1978,54,0
1764129600,6.248,6.257,6.195,6.197,1224,54,0
1764133200,6.197,6.217,6.126,6.133,1096,54,0
1764136800,6.132,6.168,6.116,6.135,970,54,0
1764140400,6.135,6.187,6.127,6.178,961,54,0
1764144000,6.178,6.200,6.151,6.195,997,54,0
1764147600,6.193,6.206,6.174,6.202,1056,54,0
1764151200,6.203,6.203,6.112,6.112,1046,54,0
1764154800,6.111,6.117,6.053,6.064,1135,54,0
1764158400,6.063,6.088,6.039,6.074,1221,54,0
1764162000,6.073,6.102,6.061,6.076,1267,54,0
1764165600,6.075,6.087,5.996,6.040,1787,54,0
1764169200,6.040,6.107,6.036,6.105,1413,54,0
1764172800,6.102,6.125,6.012,6.025,2589,54,0
1764176400,6.023,6.062,5.970,6.017,2952,54,0
1764180000,6.016,6.163,6.014,6.143,2348,54,0
1764183600,6.143,6.342,6.133,6.297,3644,54,0
1764187200,6.298,6.359,6.289,6.356,2800,54,0
1764190800,6.357,6.358,6.297,6.318,1684,54,0
1764194400,6.318,6.321,6.230,6.271,1592,54,0
1764198000,6.271,6.341,6.269,6.315,1134,54,0
1764201600,6.313,6.347,6.282,6.291,773,54,0
1764205200,6.291,6.310,6.250,6.276,1099,54,0
1764208800,6.274,6.302,6.241,6.282,1193,54,0
1764212400,6.283,6.365,6.273,6.350,1785,54,0
1764216000,6.350,6.405,6.266,6.276,2048,54,0
1764219600,6.275,6.344,6.234,6.238,1674,54,0
1764223200,6.238,6.281,6.227,6.235,1503,54,0
1764226800,6.236,6.236,6.158,6.171,1696,54,0
1764230400,6.169,6.200,6.152,6.186,1404,54,0
1764234000,6.186,6.209,6.156,6.172,1383,54,0
1764237600,6.172,6.175,6.124,6.161,1110,54,0
1764241200,6.162,6.223,6.152,6.168,1061,54,0
1764244800,6.167,6.175,6.129,6.153,782,54,0
1764248400,6.153,6.156,6.127,6.131,833,54,0
1764252000,6.130,6.141,6.074,6.075,1012,54,0
1764255600,6.074,6.125,6.074,6.098,1248,54,0
1764259200,6.100,6.141,6.084,6.122,836,54,0
1764262800,6.123,6.193,6.116,6.154,1971,54,0
1764266400,6.155,6.212,6.130,6.201,1794,54,0
1764270000,6.202,6.208,6.154,6.187,1239,54,0
1764273600,6.186,6.241,6.183,6.221,1218,54,0
1764277200,6.220,6.241,6.202,6.232,1117,54,0
1764280800,6.231,6.250,6.211,6.216,780,54,0
1764284400,6.213,6.227,6.171,6.173,857,54,0
1764288000,6.175,6.190,6.108,6.122,728,54,0
1764291600,6.121,6.153,6.098,6.114,1088,54,0
1764295200,6.115,6.143,6.098,6.109,1108,54,0
1764298800,6.109,6.115,6.035,6.041,1504,54,0
1764302400,6.041,6.097,6.023,6.092,1545,54,0
1764306000,6.092,6.104,6.069,6.084,1034,54,0
1764309600,6.084,6.103,6.065,6.071,833,54,0
1764313200,6.070,6.116,6.059,6.100,899,54,0
1764316800,6.100,6.100,6.050,6.068,743,54,0
1764320400,6.067,6.097,6.058,6.061,787,54,0
1764324000,6.061,6.278,6.061,6.254,1827,54,0
1764327600,6.255,6.272,6.204,6.248,1443,54,0
1764331200,6.248,6.262,6.221,6.252,1069,54,0
1764334800,6.252,6.259,6.148,6.166,1693,54,0
1764338400,6.164,6.197,6.141,6.183,1191,54,0
1764342000,6.183,6.299,6.155,6.262,1604,54,0
1764345600,6.263,6.329,6.220,6.258,2223,54,0
1764349200,6.259,6.308,6.226,6.249,1917,54,0
1764352800,6.248,6.248,6.086,6.097,1784,54,0
1764356400,6.097,6.113,6.042,6.068,2219,54,0
1764360000,6.069,6.108,6.033,6.102,1393,54,0
1764363600,6.103,6.193,6.098,6.169,965,54,0
1764367200,6.169,6.189,6.122,6.184,946,54,0
