time,open,high,low,close,tick_volume,spread,real_volume
1420185600,22.898,23.008,22.898,22.956,398,50,0
1420189200,22.955,22.980,22.918,22.973,423,50,0
1420192800,22.972,22.987,22.953,22.966,321,50,0
1420196400,22.968,22.996,22.968,22.976,235,50,0
1420200000,22.975,22.985,22.963,22.970,178,50,0
1420203600,22.971,22.994,22.968,22.980,203,50,0
1420207200,22.981,23.004,22.969,22.994,212,50,0
1420210800,22.995,23.028,22.991,23.018,271,50,0
1420214400,23.017,23.023,22.988,22.991,381,50,0
1420218000,22.990,23.027,22.986,23.023,273,50,0
1420221600,23.022,23.044,23.022,23.036,163,50,0
1420225200,23.035,23.043,23.023,23.042,276,50,0
1420228800,23.041,23.061,23.032,23.048,255,50,0
1420232400,23.049,23.069,23.040,23.051,194,50,0
1420236000,23.052,23.055,23.034,23.034,197,50,0
1420412400,23.140,23.286,23.140,23.169,820,50,0
1420416000,23.168,23.185,23.148,23.156,239,50,0
1420419600,23.155,23.155,23.099,23.128,265,50,0
1420423200,23.127,23.143,23.103,23.136,215,50,0
1420426800,23.135,23.136,23.117,23.130,120,50,0
1420430400,23.131,23.156,23.131,23.155,135,50,0
1420434000,23.156,23.172,23.155,23.159,130,50,0
1420437600,23.160,23.190,23.156,23.172,142,50,0
1420441200,23.173,23.183,23.153,23.154,146,50,0
1420444800,23.153,23.172,23.103,23.132,330,50,0
1420448400,23.133,23.156,23.104,23.154,393,50,0
1420452000,23.155,23.171,23.124,23.134,285,50,0
1420455600,23.133,23.212,23.132,23.201,310,50,0
1420459200,23.202,23.234,23.195,23.205,232,50,0
1420462800,23.206,23.251,23.183,23.230,251,50,0
1420466400,23.231,23.241,23.174,23.208,244,50,0
1420470000,23.207,23.218,23.165,23.174,331,50,0
1420473600,23.173,23.211,23.162,23.180,286,50,0
1420477200,23.179,23.218,23.176,23.212,171,50,0
1420480800,23.213,23.223,23.192,23.200,135,50,0
1420484400,23.201,23.218,23.184,23.184,189,50,0
1420488000,23.183,23.183,23.168,23.176,113,50,0
1420491600,23.175,23.177,23.154,23.175,133,50,0
1420495200,23.176,23.187,23.173,23.184,136,50,0
