time,open,high,low,close,tick_volume,spread,real_volume
1764118800,18.3843,18.3843,18.3806,18.3838,127,88,0
1764122400,18.3839,18.3839,18.3698,18.3744,2514,84,0
1764126000,18.3746,18.3751,18.3567,18.3609,4817,80,0
1764129600,18.3611,18.3640,18.3525,18.3618,3360,84,0
1764133200,18.3617,18.3632,18.3557,18.3575,2236,75,0
1764136800,18.3576,18.3615,18.3563,18.3578,2199,75,0
1764140400,18.3578,18.3609,18.3561,18.3572,2040,84,0
1764144000,18.3571,18.3646,18.3524,18.3628,1381,79,0
1764147600,18.3629,18.3829,18.3605,18.3817,5092,76,0
1764151200,18.3817,18.3914,18.3787,18.3886,3956,73,0
1764154800,18.3889,18.4083,18.3853,18.3920,3461,72,0
1764158400,18.3919,18.3931,18.3840,18.3857,3750,75,0
1764162000,18.3855,18.3858,18.3670,18.3680,5045,78,0
1764165600,18.3680,18.3819,18.3570,18.3657,6902,65,0
1764169200,18.3651,18.3876,18.3572,18.3803,9825,69,0
1764172800,18.3802,18.3940,18.3479,18.3632,8106,66,0
1764176400,18.3633,18.3769,18.3436,18.3466,9317,67,0
1764180000,18.3466,18.3482,18.3310,18.3422,6826,68,0
1764183600,18.3422,18.3504,18.3345,18.3379,6503,68,0
1764187200,18.3379,18.3543,18.3339,18.3419,5702,68,0
1764190800,18.3419,18.3424,18.3307,18.3407,4068,66,0
1764194400,18.3406,18.3428,18.3324,18.3397,4249,70,0
1764198000,18.3403,18.3481,18.3339,18.3481,1558,69,0
1764201600,18.3359,18.3464,18.3343,18.3363,107,337,0
1764205200,18.3502,18.3559,18.3335,18.3376,545,76,0
1764208800,18.3375,18.3419,18.3355,18.3371,3647,82,0
1764212400,18.3375,18.3379,18.3296,18.3310,5018,85,0
1764216000,18.3309,18.3356,18.3263,18.3343,3521,83,0
1764219600,18.3343,18.3362,18.3328,18.3340,1271,75,0
1764223200,18.3341,18.3354,18.3296,18.3350,2698,75,0
1764226800,18.3344,18.3387,18.3303,18.3346,3779,75,0
1764230400,18.3345,18.3525,18.3332,18.3511,3323,77,0
1764234000,18.3509,18.3561,18.3475,18.3482,2349,74,0
1764237600,18.3483,18.3560,18.3412,18.3474,4397,74,0
1764241200,18.3476,18.3587,18.3415,18.3517,3968,74,0
1764244800,18.3517,18.3529,18.3407,18.3421,4099,75,0
1764248400,18.3421,18.3436,18.3369,18.3416,3046,75,0
1764252000,18.3417,18.3456,18.3336,18.3442,5220,69,0
1764255600,18.3442,18.3527,18.3344,18.3470,6048,68,0
1764259200,18.3467,18.3536,18.3347,18.3445,4204,69,0
1764262800,18.3445,18.3493,18.3343,18.3345,4276,70,0
1764266400,18.3348,18.3514,18.3332,18.3375,3088,69,0
1764270000,18.3374,18.3523,18.3355,18.3376,1835,68,0
1764273600,18.3376,18.3427,18.3373,18.3414,2718,74,0
1764277200,18.3413,18.3468,18.3398,18.3457,2575,70,0
1764280800,18.3457,18.3537,18.3408,18.3520,4029,72,0
1764284400,18.3519,18.3521,18.3442,18.3520,3943,68,0
1764288000,18.3377,18.3413,18.3301,18.3373,88,302,0
1764291600,18.3763,18.3790,18.3384,18.3400,442,84,0
1764295200,18.3401,18.3509,18.3377,18.3422,3100,75,0
1764298800,18.3416,18.3591,18.3400,18.3573,3672,83,0
1764302400,18.3572,18.3888,18.3311,18.3545,15269,84,0
1764306000,18.3576,18.3884,18.3354,18.3638,23094,88,0
1764309600,18.3597,18.3978,18.3342,18.3650,30143,55,0
1764313200,18.3691,18.3908,18.3406,18.3625,31712,78,0
1764316800,18.3619,18.3802,18.3459,18.3636,5086,77,0
1764320400,18.3639,18.3715,18.3500,18.3670,12066,84,0
1764324000,18.3667,18.3706,18.3516,18.3643,13573,88,0
1764327600,18.3643,18.3653,18.3330,18.3446,16308,67,0
1764331200,18.3446,18.3587,18.3330,18.3372,25281,78,0
1764334800,18.3366,18.3486,18.3298,18.3299,36155,63,0
1764338400,18.3300,18.3494,18.3271,18.3362,41265,73,0
1764342000,18.3360,18.3431,18.3166,18.3225,19006,56,0
1764345600,18.3225,18.3379,18.3179,18.3255,8926,57,0
1764349200,18.3255,18.3275,18.2963,18.3215,9746,55,0
1764352800,18.3216,18.3237,18.2872,18.2928,6328,56,0
1764356400,18.2929,18.3104,18.2894,18.2951,5618,61,0
1764360000,18.2951,18.3077,18.2896,18.2960,2340,55,0
1764363600,18.2961,18.3009,18.2894,18.2928,3079,70,0
1764367200,18.2931,18.3013,18.2896,18.2967,4668,57,0
1764370800,18.2967,18.3033,18.2781,18.2814,1408,56,0
1764547200,18.3315,18.3315,18.3315,18.3315,1,350,0
1764583200,18.2778,18.2889,18.2741,18.2881,3788,56,0
1764586800,18.2882,18.2895,18.2744,18.2812,4937,58,0
1764590400,18.2813,18.2847,18.2720,18.2784,5039,56,0
1764594000,18.2784,18.2844,18.2702,18.2782,4587,56,0
1764597600,18.2782,18.2927,18.2665,18.2680,5665,56,0
1764601200,18.2680,18.2867,18.2614,18.2726,6429,56,0
1764604800,18.2728,18.2755,18.2497,18.2588,8359,68,0
1764608400,18.2611,18.2818,18.2486,18.2577,9052,67,0
1764612000,18.2577,18.2857,18.2495,18.2820,8701,68,0
1764615600,18.2820,18.2966,18.2750,18.2888,8047,62,0
1764619200,18.2889,18.2979,18.2744,18.2955,7696,67,0
1764622800,18.2955,18.3075,18.2926,18.3034,8541,65,0
1764626400,18.3037,18.3160,18.3019,18.3019,5692,60,0
1764630000,18.3018,18.3067,18.2969,18.3067,1765,68,0
1764633600,18.3016,18.3101,18.2924,18.2968,200,105,0
1764637200,18.3156,18.3159,18.2986,18.3045,585,55,0
1764640800,18.3033,18.3104,18.3016,18.3086,2201,55,0
1764644400,18.3080,18.3095,18.3023,18.3042,2163,75,0
1764648000,18.3041,18.3055,18.3001,18.3014,1698,73,0
1764651600,18.3014,18.3093,18.3001,18.3045,1239,77,0
1764655200,18.3041,18.3074,18.3025,18.3064,1057,74,0
1764658800,18.3064,18.3085,18.3033,18.3045,922,74,0
1764662400,18.3043,18.3080,18.3026,18.3040,1149,74,0
1764666000,18.3040,18.3041,18.2984,18.3027,1633,73,0
1764669600,18.3025,18.3118,18.2969,18.3105,2747,71,0
1764673200,18.3104,18.3245,18.3066,18.3113,3276,74,0
1764676800,18.3113,18.3220,18.3105,18.3140,3417,68,0
1764680400,18.3141,18.3184,18.3101,18.3176,2829,66,0
1764684000,18.3176,18.3182,18.3023,18.3043,2902,66,0
1764687600,18.3042,18.3074,18.2859,18.2907,4046,65,0
1764691200,18.2907,18.2956,18.2805,18.2844,6015,67,0
1764694800,18.2843,18.3038,18.2796,18.2817,6591,67,0
1764698400,18.2817,18.3023,18.2746,18.2986,5423,65,0
1764702000,18.2986,18.3017,18.2884,18.3013,3656,63,0
1764705600,18.3013,18.3023,18.2906,18.2952,3846,63,0
1764709200,18.2953,18.2958,18.2747,18.2778,4334,66,0
1764712800,18.2776,18.2844,18.2753,18.2816,3478,67,0
1764716400,18.2816,18.2926,18.2733,18.2926,1672,62,0
1764720000,18.2757,18.2861,18.2687,18.2833,306,105,0
1764723600,18.2884,18.2937,18.2721,18.2752,758,55,0
1764727200,18.2750,18.2812,18.2709,18.2742,2433,68,0
1764730800,18.2740,18.2754,18.2667,18.2718,2945,68,0
1764734400,18.2719,18.2746,18.2683,18.2698,2834,73,0
1764738000,18.2698,18.2716,18.2681,18.2691,4362,69,0
1764741600,18.2691,18.2731,18.2688,18.2721,2228,69,0
1764745200,18.2721,18.2739,18.2659,18.2694,1547,69,0
1764748800,18.2694,18.2726,18.2660,18.2711,3539,75,0
1764752400,18.2712,18.2712,18.2632,18.2690,2580,58,0
1764756000,18.2689,18.2692,18.2578,18.2591,2494,69,0
1764759600,18.2589,18.2633,18.2585,18.2624,3985,72,0
1764763200,18.2620,18.2625,18.2439,18.2530,3938,67,0
1764766800,18.2529,18.2561,18.2476,18.2524,2418,59,0
1764770400,18.2531,18.2561,18.2455,18.2538,3094,65,0
1764774000,18.2541,18.2586,18.2402,18.2563,5116,63,0
1764777600,18.2563,18.2815,18.2473,18.2613,7564,64,0
1764781200,18.2608,18.2713,18.2500,18.2517,8060,64,0
1764784800,18.2519,18.2754,18.2502,18.2727,6233,61,0
1764788400,18.2726,18.2745,18.2613,18.2721,3788,62,0
1764792000,18.2719,18.2755,18.2575,18.2691,3068,67,0
1764795600,18.2691,18.2822,18.2646,18.2813,3653,65,0
1764799200,18.2812,18.2849,18.2701,18.2717,2824,64,0
1764802800,18.2717,18.2851,18.2711,18.2822,1158,70,0
1764806400,18.2695,18.2792,18.2599,18.2642,223,105,0
1764810000,18.2866,18.2888,18.2800,18.2857,271,59,0
1764813600,18.2858,18.2931,18.2841,18.2919,846,76,0
1764817200,18.2919,18.2933,18.2869,18.2890,2224,75,0
1764820800,18.2889,18.2923,18.2843,18.2860,1841,78,0
1764824400,18.2858,18.2925,18.2857,18.2879,1805,75,0
1764828000,18.2879,18.2933,18.2876,18.2896,645,75,0
1764831600,18.2897,18.2931,18.2851,18.2925,1767,75,0
1764835200,18.2920,18.2957,18.2877,18.2892,775,74,0
1764838800,18.2895,18.2901,18.2787,18.2806,1671,68,0
1764842400,18.2805,18.2890,18.2565,18.2648,4142,72,0
1764846000,18.2649,18.2695,18.2559,18.2574,2679,71,0
1764849600,18.2575,18.2637,18.2550,18.2633,3003,71,0
1764853200,18.2632,18.2960,18.2603,18.2691,5324,70,0
1764856800,18.2691,18.2795,18.2611,18.2735,4334,67,0
1764860400,18.2735,18.2735,18.2494,18.2644,6801,66,0
1764864000,18.2643,18.2736,18.2483,18.2510,7930,63,0
1764867600,18.2509,18.2515,18.2194,18.2250,7837,65,0
1764871200,18.2252,18.2376,18.2216,18.2301,6544,64,0
1764874800,18.2300,18.2427,18.2238,18.2387,5368,62,0
1764878400,18.2388,18.2403,18.2252,18.2278,3822,65,0
1764882000,18.2276,18.2391,18.2255,18.2315,3473,65,0
1764885600,18.2316,18.2374,18.2241,18.2297,2889,65,0
1764889200,18.2298,18.2350,18.2222,18.2276,1578,70,0
1764892800,18.2250,18.2344,18.2194,18.2251,258,105,0
1764896400,18.2392,18.2473,18.2232,18.2281,578,75,0
1764900000,18.2282,18.2300,18.2217,18.2228,2217,77,0
1764903600,18.2228,18.2229,18.2135,18.2156,2684,73,0
1764907200,18.2158,18.2183,18.2134,18.2155,1264,69,0
1764910800,18.2156,18.2212,18.2150,18.2190,1345,75,0
1764914400,18.2185,18.2198,18.2152,18.2156,1071,68,0
1764918000,18.2157,18.2183,18.2099,18.2102,1786,70,0
1764921600,18.2100,18.2146,18.2086,18.2095,4773,73,0
1764925200,18.2096,18.2099,18.2004,18.2092,3172,65,0
1764928800,18.2091,18.2112,18.2001,18.2040,3204,73,0
1764932400,18.2040,18.2192,18.2040,18.2107,3758,75,0
1764936000,18.2108,18.2134,18.2057,18.2090,3713,73,0
1764939600,18.2091,18.2128,18.1931,18.1941,4361,68,0
1764943200,18.1941,18.1978,18.1734,18.1962,4543,67,0
1764946800,18.1962,18.1997,18.1789,18.1962,5886,63,0
1764950400,18.1964,18.2008,18.1730,18.1761,6607,64,0
1764954000,18.1794,18.2015,18.1484,18.1623,8254,67,0
1764957600,18.1624,18.2105,18.1579,18.1896,10396,62,0
1764961200,18.1899,18.1944,18.1689,18.1763,7342,66,0
1764964800,18.1762,18.1807,18.1668,18.1692,5670,64,0
1764968400,18.1693,18.1847,18.1688,18.1777,5120,64,0
